duplicate_group_id,canonical_asset_id,duplicate_asset_ids,duplicate_type,duplicate_reason,recommended_action,safe_to_suppress_from_browse,safe_to_delete_after_human_review,keep_reason,risk_level,group_size
sha256_60437f00acfd4829,asset_cbd2ca7124254e2a,['asset_5f50391104b4f9ae'],exact_duplicate,2 files share SHA256 60437f00acfd…,suppress_duplicates_from_browse,True,False,Best extraction/metadata in projects/38_ADC_project/6_Archive/2_ESGO_2026/COI Form - _AF.pdf,low,2
sha256_f818f7fc7ba0f208,asset_f1ffe69a753aac57,"['asset_bb755805f48f35be', 'asset_2ed092ef286b2f11']",exact_duplicate,3 files share SHA256 f818f7fc7ba0…,suppress_duplicates_from_browse,True,False,Best extraction/metadata in projects/38_ADC_project/6_Archive/2_ESGO_2026/ESGO2026_poster.pdf,low,3
sha256_800f8e55b3574a71,asset_4f5b591eea7e1a1d,['asset_adfa17cba081bc05'],exact_duplicate,2 files share SHA256 800f8e55b357…,suppress_duplicates_from_browse,True,False,Best extraction/metadata in projects/38_ADC_project/6_Archive/2_ESGO_2026/ESGO_Feb26_SPACE_AndreasHainari.pdf,low,2
sha256_67c9dbd08926e822,asset_96c750fe3fb35b7e,['asset_540f974fe0b154d9'],version_variant,2 files share SHA256 67c9dbd08926…,review_before_suppress,False,False,Best extraction/metadata in projects/38_ADC_project/6_Archive/3_SCSO_2026/adc_project_Poster_v4.pdf,medium,2
sha256_ddb6d4fa96693c1a,asset_c4cc46a96f3bf8d7,['asset_c4160e24568c68d0'],exact_duplicate,2 files share SHA256 ddb6d4fa9669…,suppress_duplicates_from_browse,True,False,Best extraction/metadata in projects/38_ADC_project/6_Archive/3_SCSO_2026/coexpression_adc_project.pdf,low,2
sha256_ad1c36dc3eac9402,asset_89a4f6766aef1c89,['asset_f9ddd3a06ca1af9d'],exact_duplicate,2 files share SHA256 ad1c36dc3eac…,suppress_duplicates_from_browse,True,False,Best extraction/metadata in projects/38_ADC_project/6_Archive/3_SCSO_2026/density_plot_adc.pdf,low,2
sha256_669ee769747d0c2f,asset_5c85ebb49601ba43,['asset_7a9dba9caed20992'],exact_duplicate,2 files share SHA256 669ee769747d…,suppress_duplicates_from_browse,True,False,Best extraction/metadata in projects/3_FA-20260602T171547Z-3-001/3_FA/3. Data & figures/Figures & visualization/Figure 1.png,low,2
sha256_59fba1542e384c5b,asset_f1db146e72c5ec29,['asset_019d2cfc4d5560e5'],exact_duplicate,2 files share SHA256 59fba1542e38…,suppress_duplicates_from_browse,True,False,Best extraction/metadata in projects/3_FA-20260602T171547Z-3-001/3_FA/3. Data & figures/Figures & visualization/Figure 1.svg,low,2
sha256_5c1370561d00af05,asset_73c336c150bb83df,['asset_f6ae4f3d0f4dbf00'],exact_duplicate,2 files share SHA256 5c1370561d00…,suppress_duplicates_from_browse,True,False,Best extraction/metadata in projects/3_FA-20260602T171547Z-3-001/3_FA/3. Data & figures/Figures & visualization/Figure 2.png,low,2
sha256_d40f5ba720a4cfb4,asset_966d51d3968c9c80,['asset_f89f00dafca6395f'],exact_duplicate,2 files share SHA256 d40f5ba720a4…,suppress_duplicates_from_browse,True,False,Best extraction/metadata in projects/3_FA-20260602T171547Z-3-001/3_FA/3. Data & figures/Figures & visualization/Figure 2.svg,low,2
sha256_e3b0c44298fc1c14,asset_5f3b4117ab8e651c,"['asset_019d85d4896ddaa0', 'asset_72e0485c37ba6584', 'asset_27acdde42b66af82', 'asset_1f948cd98b4b3fb5', 'asset_d4451387ed6729d2', 'asset_eec60727bb94bc59', 'asset_12ad9943b98f5af4']",system_artifact,8 files share SHA256 e3b0c44298fc…,hide_system_artifacts,True,True,Best extraction/metadata in projects/project_scripts/SPACEstat-main/setup.py,low,8
sha256_bf186ffec6dcdada,asset_181ee4134f92576b,['asset_f319459b586e5105'],exact_duplicate,2 files share SHA256 bf186ffec6dc…,suppress_duplicates_from_browse,True,False,Best extraction/metadata in projects/3_FA-20260602T171547Z-3-001/3_FA/3. Data & figures/Figures & visualization/Plots_paper/Elisa/pd_1/epithelium/FA_vs_NonFA_pd_1_positive.png,low,2
sha256_3cca4cbea1a5b287,asset_11585f6ff7e42e47,['asset_9caf13b2146161da'],exact_duplicate,2 files share SHA256 3cca4cbea1a5…,suppress_duplicates_from_browse,True,False,Best extraction/metadata in projects/3_FA-20260602T171547Z-3-001/3_FA/3. Data & figures/Figures & visualization/Plots_paper/Progression/TDA_clustermap_myeloid_M2_DC/alfredo_report/100_samples_stroma/markers_AB_tim3_eps20.4081632653061.svg,low,2
