priority,source_file_path,file_type,reason,recommended_action,safe_to_auto_process,needs_human_review
high,"/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/Inventories - Reagents, samples, equipment/Oncosys-OVA sample inventory/ONCOSYS_OVA_EXTRA_Tissue_Pieces_Snapfrozen_in5ml_tubes.xlsx",.xlsx,not_started,extract_text,True,False
high,"/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/Inventories - Reagents, samples, equipment/Oncosys-OVA sample inventory/ONCOSYS_OVA_LN_snapfrozen_TISSUES.xlsx",.xlsx,not_started,extract_text,True,False
high,"/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/Inventories - Reagents, samples, equipment/Oncosys-OVA sample inventory/ONCOSYS_OVA_LONG_TERM_ORGANOIDS_INVENTORY.xlsx",.xlsx,not_started,extract_text,True,False
high,"/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/Inventories - Reagents, samples, equipment/Oncosys-OVA sample inventory/ONCOSYS_OVA_Patient_Cells_minus80C_.xlsx",.xlsx,not_started,extract_text,True,False
high,"/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/Inventories - Reagents, samples, equipment/Oncosys-OVA sample inventory/ONCOSYS_OVA_cell_culture_supernatant_minus80C.xlsx",.xlsx,not_started,extract_text,True,False
high,"/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/Inventories - Reagents, samples, equipment/Oncosys-OVA sample inventory/ONCOSYS_OVA_snap_frozen_Organoids_minus80C.xlsx",.xlsx,not_started,extract_text,True,False
high,"/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/Inventories - Reagents, samples, equipment/PIPETTES_FÄRKKILÄ_LAB_.xlsx",.xlsx,not_started,extract_text,True,False
high,"/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/Inventories - Reagents, samples, equipment/Pipette_scales_measurements_16_06_25.xlsx",.xlsx,not_started,extract_text,True,False
high,"/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/Inventories - Reagents, samples, equipment/REVCO_minus80oC_MAP_UPD_10_09_2025AL.xlsx",.xlsx,not_started,extract_text,True,False
high,"/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/Inventories - Reagents, samples, equipment/Reagent inventory/Aprotinin.xlsx",.xlsx,not_started,extract_text,True,False
high,"/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/Inventories - Reagents, samples, equipment/Reagent inventory/Chromium reagents.xlsx",.xlsx,not_started,extract_text,True,False
high,"/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/Inventories - Reagents, samples, equipment/Reagent inventory/Cultrex Aliquotes Box -80C.xlsx",.xlsx,not_started,extract_text,True,False
high,"/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/Inventories - Reagents, samples, equipment/Reagent inventory/Cytokines.xlsx",.xlsx,not_started,extract_text,True,False
high,"/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/Inventories - Reagents, samples, equipment/Reagent inventory/Drugs and Inhibitors.xlsx",.xlsx,not_started,extract_text,True,False
high,"/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/Inventories - Reagents, samples, equipment/Reagent inventory/Enzymes.xlsx",.xlsx,not_started,extract_text,True,False
high,"/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/Inventories - Reagents, samples, equipment/Reagent inventory/Growth Factors and Hormones.xlsx",.xlsx,not_started,extract_text,True,False
high,"/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/Inventories - Reagents, samples, equipment/Reagent inventory/Omentum Gel, Myogel.xlsx",.xlsx,not_started,extract_text,True,False
high,"/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/Inventories - Reagents, samples, equipment/Reagent inventory/Primary Cells Culture  Ready-to-Take Media & Matrix essentials.xlsx",.xlsx,not_started,extract_text,True,False
high,"/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/Inventories - Reagents, samples, equipment/Reagent inventory/REAGENT boxes_2021-04-22.xlsx",.xlsx,not_started,extract_text,True,False
high,"/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/Inventories - Reagents, samples, equipment/Reagent inventory/Recombinant Proteins.xlsx",.xlsx,not_started,extract_text,True,False
high,"/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/Inventories - Reagents, samples, equipment/Reagent inventory/Viability Dyes_.xlsx",.xlsx,not_started,extract_text,True,False
high,"/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/Inventories - Reagents, samples, equipment/Reagent inventory/blank template.xlsx",.xlsx,not_started,extract_text,True,False
high,/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/NanoString GeoMx/Buffers and reagents/GeoMx buffers and reagents 24.04.2025.xlsx,.xlsx,not_started,extract_text,True,False
high,/Users/debashishdeb/Downloads/OMEIA-AI/database/WET_LAB/Old reagents.xlsx,.xlsx,not_started,extract_text,True,False
